TOTAL,TIME
7,2018-04-11
6,2018-08-23
3,2018-03-16
8,2018-05-15
6,2018-03-12
6,2018-06-22
8,2018-05-03
4,2018-10-10
3,2018-02-27
1,2018-01-19
3,2018-08-24
8,2018-02-23
5,2018-09-27
5,2018-10-23
1,2018-07-21
4,2018-09-15
3,2018-05-25
3,2018-04-25
5,2018-08-04
5,2018-08-02
6,2018-07-28
1,2018-10-31
4,2018-05-31
11,2018-08-29
8,2018-08-09
4,2018-07-20
2,2018-10-25
2,2018-10-07
4,2018-07-29
1,2018-06-10
4,2018-03-30
9,2018-09-12
7,2018-02-02
3,2018-06-04
10,2018-01-10
2,2018-02-07
5,2018-03-28
2,2018-01-26
5,2018-06-25
5,2018-01-01
9,2018-05-21
12,2018-03-15
3,2018-01-28
7,2018-06-09
10,2018-04-28
5,2018-03-07
6,2018-08-30
4,2018-02-26
4,2018-10-26
8,2018-09-29
6,2018-06-03
9,2018-01-12
4,2018-02-17
4,2018-04-18
4,2018-06-30
5,2018-07-09
5,2018-03-21
4,2018-02-06
5,2018-06-11
6,2018-08-13
5,2018-10-29
2,2018-02-15
8,2018-06-08
6,2018-02-09
7,2018-08-14
7,2018-10-03
4,2018-07-07
7,2018-04-14
4,2018-01-16
1,2018-08-18
7,2018-09-10
6,2018-05-16
7,2018-02-16
3,2018-09-02
1,2018-01-20
5,2018-06-23
2,2018-10-13
2,2018-01-25
4,2018-02-05
5,2018-10-15
6,2018-03-09
2,2018-07-01
4,2018-05-29
6,2018-03-03
1,2018-06-18
3,2018-04-13
4,2018-06-15
5,2018-08-07
7,2018-10-24
2,2018-01-04
4,2018-02-18
4,2018-05-06
6,2018-05-18
9,2018-08-20
6,2018-06-21
3,2018-01-22
3,2018-01-17
6,2018-02-22
5,2018-05-27
5,2018-07-27
